t test_acc train_acc W_norm W_2_norm b_norm b_2_norm Z_2_norm time
129 3.2360e-01 3.4258e-01 1.4787e+00 2.6282e+00 6.6004e-01 3.2939e-01 2.3311e+04 1.4303e+01
130 3.3380e-01 3.5013e-01 1.5103e+00 2.6311e+00 6.6275e-01 3.1020e-01 2.3309e+04 1.4352e+01
131 3.5600e-01 3.6883e-01 1.5307e+00 2.6349e+00 6.6077e-01 2.6134e-01 2.3310e+04 1.4401e+01
132 3.4360e-01 3.6298e-01 1.5452e+00 2.6417e+00 6.5638e-01 3.1271e-01 2.3312e+04 1.4450e+01
133 3.2760e-01 3.4195e-01 1.5459e+00 2.6479e+00 6.6184e-01 3.9055e-01 2.3299e+04 1.4498e+01
134 3.5860e-01 3.8825e-01 1.5580e+00 2.6522e+00 6.6335e-01 3.3138e-01 2.3329e+04 1.4545e+01
135 3.7220e-01 4.0163e-01 1.5805e+00 2.6567e+00 6.6430e-01 3.1078e-01 2.3327e+04 1.4593e+01
136 3.7060e-01 4.0133e-01 1.6030e+00 2.6578e+00 6.5988e-01 3.9373e-01 2.3309e+04 1.4642e+01
137 4.0920e-01 4.3798e-01 1.6291e+00 2.6648e+00 6.5638e-01 3.4049e-01 2.3313e+04 1.4692e+01
138 4.2860e-01 4.5323e-01 1.6510e+00 2.6738e+00 6.6108e-01 3.3655e-01 2.3317e+04 1.4742e+01
139 4.3500e-01 4.5638e-01 1.6804e+00 2.6844e+00 6.5684e-01 2.8832e-01 2.3321e+04 1.4791e+01
140 4.0840e-01 4.3880e-01 1.7041e+00 2.6836e+00 6.6172e-01 3.6679e-01 2.3324e+04 1.4842e+01
141 4.0700e-01 4.3577e-01 1.7304e+00 2.6984e+00 6.6108e-01 3.4420e-01 2.3330e+04 1.4891e+01
142 3.9640e-01 4.2153e-01 1.7505e+00 2.7056e+00 6.4930e-01 3.3407e-01 2.3326e+04 1.4939e+01
143 4.1780e-01 4.4108e-01 1.7654e+00 2.7087e+00 6.5344e-01 3.5153e-01 2.3351e+04 1.4988e+01
144 3.9420e-01 4.1837e-01 1.7866e+00 2.7114e+00 6.5858e-01 4.1195e-01 2.3342e+04 1.5036e+01
145 3.9380e-01 4.1650e-01 1.8112e+00 2.7219e+00 6.5280e-01 4.6418e-01 2.3346e+04 1.5085e+01
146 4.2460e-01 4.4510e-01 1.8181e+00 2.7369e+00 6.6094e-01 3.7650e-01 2.3343e+04 1.5134e+01
147 4.4840e-01 4.7192e-01 1.8520e+00 2.7542e+00 6.6277e-01 3.8278e-01 2.3347e+04 1.5182e+01
148 4.5560e-01 4.8510e-01 1.8608e+00 2.7663e+00 6.6137e-01 3.8189e-01 2.3340e+04 1.5230e+01
149 4.7940e-01 5.0352e-01 1.8733e+00 2.7732e+00 6.6198e-01 3.0435e-01 2.3352e+04 1.5280e+01
150 4.6800e-01 4.9007e-01 1.8687e+00 2.7757e+00 6.6506e-01 3.3269e-01 2.3358e+04 1.5328e+01
151 4.6140e-01 4.8718e-01 1.8772e+00 2.7861e+00 6.6519e-01 4.1765e-01 2.3359e+04 1.5378e+01
152 4.7100e-01 4.9482e-01 1.8669e+00 2.7893e+00 6.5977e-01 4.4241e-01 2.3376e+04 1.5428e+01
153 4.9060e-01 5.1843e-01 1.8919e+00 2.8039e+00 6.6035e-01 4.3386e-01 2.3379e+04 1.5477e+01
154 4.9180e-01 5.2040e-01 1.9220e+00 2.8122e+00 6.6775e-01 5.2186e-01 2.3373e+04 1.5525e+01
155 5.0320e-01 5.2805e-01 1.9332e+00 2.8211e+00 6.6350e-01 4.9354e-01 2.3362e+04 1.5575e+01
156 5.0460e-01 5.2428e-01 1.9769e+00 2.8348e+00 6.6370e-01 4.7263e-01 2.3378e+04 1.5624e+01
157 4.9980e-01 5.2137e-01 1.9966e+00 2.8470e+00 6.6488e-01 4.3538e-01 2.3383e+04 1.5673e+01
158 5.1060e-01 5.2938e-01 2.0064e+00 2.8658e+00 6.6085e-01 4.1782e-01 2.3399e+04 1.5723e+01
159 5.1860e-01 5.4123e-01 2.0259e+00 2.8747e+00 6.6083e-01 3.7093e-01 2.3408e+04 1.5772e+01
160 5.3260e-01 5.5132e-01 2.0671e+00 2.8875e+00 6.6539e-01 2.8277e-01 2.3394e+04 1.5822e+01
161 5.3480e-01 5.5420e-01 2.1137e+00 2.9084e+00 6.7051e-01 3.3395e-01 2.3397e+04 1.5872e+01
162 5.2680e-01 5.4753e-01 2.1304e+00 2.9151e+00 6.7212e-01 4.0276e-01 2.3399e+04 1.5921e+01
163 5.4740e-01 5.6648e-01 2.1505e+00 2.9193e+00 6.7564e-01 3.8268e-01 2.3398e+04 1.5970e+01
164 5.5180e-01 5.7668e-01 2.1715e+00 2.9317e+00 6.6560e-01 4.5867e-01 2.3398e+04 1.6017e+01
165 5.5300e-01 5.7960e-01 2.1494e+00 2.9362e+00 6.6628e-01 4.8385e-01 2.3415e+04 1.6065e+01
166 5.6240e-01 5.8802e-01 2.1610e+00 2.9446e+00 6.7444e-01 4.2439e-01 2.3423e+04 1.6114e+01
167 5.6260e-01 5.8842e-01 2.1832e+00 2.9587e+00 6.7772e-01 4.4029e-01 2.3408e+04 1.6163e+01
168 5.6500e-01 5.9147e-01 2.2149e+00 2.9666e+00 6.7040e-01 3.8074e-01 2.3422e+04 1.6213e+01
169 5.6660e-01 5.9590e-01 2.2418e+00 2.9786e+00 6.6793e-01 3.8823e-01 2.3447e+04 1.6265e+01
170 5.7600e-01 6.0190e-01 2.2467e+00 2.9837e+00 6.6169e-01 4.1839e-01 2.3442e+04 1.6314e+01
171 5.7720e-01 6.0058e-01 2.2824e+00 2.9998e+00 6.6234e-01 3.9980e-01 2.3452e+04 1.6362e+01
172 5.8420e-01 6.0878e-01 2.2954e+00 3.0185e+00 6.6515e-01 3.7287e-01 2.3451e+04 1.6411e+01
173 5.8720e-01 6.1148e-01 2.3180e+00 3.0316e+00 6.5758e-01 3.8531e-01 2.3468e+04 1.6460e+01
174 5.9060e-01 6.1427e-01 2.3425e+00 3.0431e+00 6.5686e-01 3.8445e-01 2.3453e+04 1.6510e+01
175 5.9460e-01 6.1732e-01 2.3750e+00 3.0626e+00 6.5189e-01 3.9248e-01 2.3466e+04 1.6557e+01
176 5.9320e-01 6.1548e-01 2.3989e+00 3.0721e+00 6.4935e-01 3.2867e-01 2.3484e+04 1.6604e+01
177 5.9160e-01 6.1298e-01 2.4156e+00 3.0922e+00 6.5364e-01 2.8266e-01 2.3474e+04 1.6655e+01
178 5.9800e-01 6.1833e-01 2.4455e+00 3.1086e+00 6.5982e-01 3.4600e-01 2.3496e+04 1.6704e+01
179 6.0120e-01 6.1882e-01 2.4721e+00 3.1151e+00 6.5492e-01 3.6237e-01 2.3500e+04 1.6755e+01
180 6.0900e-01 6.3022e-01 2.4907e+00 3.1262e+00 6.5525e-01 3.5671e-01 2.3502e+04 1.6805e+01
181 6.0900e-01 6.3227e-01 2.5104e+00 3.1444e+00 6.5816e-01 3.6737e-01 2.3508e+04 1.6854e+01
182 6.1080e-01 6.3078e-01 2.5381e+00 3.1596e+00 6.6006e-01 4.0843e-01 2.3535e+04 1.6904e+01
183 6.1620e-01 6.3765e-01 2.5430e+00 3.1691e+00 6.6277e-01 4.0664e-01 2.3510e+04 1.6952e+01
184 6.1760e-01 6.3697e-01 2.5607e+00 3.1811e+00 6.6023e-01 4.1754e-01 2.3521e+04 1.6999e+01
185 6.2020e-01 6.3993e-01 2.5909e+00 3.1976e+00 6.5264e-01 4.0333e-01 2.3529e+04 1.7049e+01
186 6.2240e-01 6.3900e-01 2.6260e+00 3.2090e+00 6.5304e-01 4.4802e-01 2.3535e+04 1.7097e+01
187 6.2660e-01 6.4257e-01 2.6699e+00 3.2149e+00 6.5996e-01 4.0322e-01 2.3537e+04 1.7148e+01
188 6.2720e-01 6.4535e-01 2.6888e+00 3.2259e+00 6.5189e-01 4.1476e-01 2.3560e+04 1.7199e+01
189 6.3280e-01 6.4783e-01 2.7261e+00 3.2509e+00 6.5545e-01 3.5644e-01 2.3558e+04 1.7249e+01
190 6.2580e-01 6.4820e-01 2.7474e+00 3.2590e+00 6.6112e-01 4.7881e-01 2.3572e+04 1.7297e+01
191 6.2680e-01 6.4793e-01 2.7785e+00 3.2776e+00 6.6415e-01 4.3633e-01 2.3572e+04 1.7346e+01
192 6.2900e-01 6.4868e-01 2.8015e+00 3.2866e+00 6.6566e-01 4.1677e-01 2.3584e+04 1.7395e+01
193 6.2620e-01 6.4520e-01 2.8121e+00 3.2936e+00 6.7091e-01 3.5478e-01 2.3591e+04 1.7443e+01
194 6.3060e-01 6.5113e-01 2.8356e+00 3.3066e+00 6.6927e-01 3.3520e-01 2.3604e+04 1.7493e+01
195 6.3220e-01 6.5195e-01 2.8571e+00 3.3201e+00 6.6614e-01 2.7812e-01 2.3617e+04 1.7543e+01
196 6.3040e-01 6.5220e-01 2.8972e+00 3.3347e+00 6.7009e-01 3.4972e-01 2.3607e+04 1.7593e+01
197 6.2920e-01 6.5402e-01 2.9236e+00 3.3446e+00 6.6623e-01 3.1931e-01 2.3619e+04 1.7642e+01
198 6.2660e-01 6.5027e-01 2.9540e+00 3.3606e+00 6.7035e-01 2.9426e-01 2.3647e+04 1.7691e+01
199 6.3060e-01 6.5088e-01 2.9843e+00 3.3715e+00 6.6729e-01 2.2037e-01 2.3645e+04 1.7741e+01
200 6.3180e-01 6.5400e-01 3.0109e+00 3.3932e+00 6.7726e-01 2.3394e-01 2.3655e+04 1.7789e+01
201 6.3380e-01 6.5560e-01 3.0325e+00 3.4035e+00 6.7686e-01 3.5943e-01 2.3667e+04 1.7838e+01
202 6.3360e-01 6.5537e-01 3.0535e+00 3.4159e+00 6.7519e-01 3.3682e-01 2.3658e+04 1.7888e+01
203 6.4080e-01 6.5942e-01 3.0808e+00 3.4349e+00 6.7141e-01 3.8045e-01 2.3679e+04 1.7937e+01
204 6.4420e-01 6.6478e-01 3.1229e+00 3.4532e+00 6.7240e-01 3.2480e-01 2.3685e+04 1.7986e+01
205 6.4700e-01 6.6757e-01 3.1330e+00 3.4737e+00 6.7217e-01 2.7587e-01 2.3703e+04 1.8036e+01
206 6.4840e-01 6.6933e-01 3.1603e+00 3.4872e+00 6.6973e-01 2.9630e-01 2.3717e+04 1.8085e+01
207 6.5180e-01 6.7580e-01 3.2069e+00 3.5049e+00 6.6393e-01 3.4676e-01 2.3711e+04 1.8134e+01
208 6.5280e-01 6.7488e-01 3.2301e+00 3.5147e+00 6.6659e-01 3.6542e-01 2.3734e+04 1.8182e+01
