t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
155 6.9440e-01 6.8377e-01 2.3006e-01 1.0757e+00 4.5742e-02 1.2780e-01 1.5409e+00
156 6.9280e-01 6.7380e-01 2.2984e-01 1.0757e+00 4.6679e-02 1.2953e-01 1.5505e+00
157 6.8120e-01 6.6428e-01 2.3701e-01 1.0767e+00 4.4339e-02 1.2636e-01 1.5600e+00
158 6.8120e-01 6.6525e-01 2.4227e-01 1.0792e+00 4.0280e-02 1.2248e-01 1.5696e+00
159 6.7200e-01 6.5382e-01 2.4260e-01 1.0827e+00 4.1944e-02 1.3175e-01 1.5792e+00
160 6.7420e-01 6.5687e-01 2.4382e-01 1.0927e+00 3.8006e-02 1.3517e-01 1.5887e+00
161 6.7820e-01 6.6457e-01 2.5350e-01 1.1003e+00 4.3705e-02 1.3788e-01 1.5985e+00
162 6.7780e-01 6.5682e-01 2.5450e-01 1.1041e+00 4.7707e-02 1.4104e-01 1.6081e+00
163 6.7120e-01 6.4545e-01 2.5272e-01 1.1079e+00 4.0440e-02 1.3832e-01 1.6179e+00
164 6.6880e-01 6.4888e-01 2.5511e-01 1.1115e+00 4.1935e-02 1.3999e-01 1.6276e+00
165 6.5700e-01 6.3220e-01 2.5726e-01 1.1134e+00 3.3275e-02 1.4079e-01 1.6374e+00
166 6.4780e-01 6.2342e-01 2.6290e-01 1.1109e+00 3.6650e-02 1.4555e-01 1.6469e+00
167 6.4020e-01 6.2460e-01 2.6459e-01 1.1154e+00 3.9675e-02 1.4610e-01 1.6565e+00
168 6.4580e-01 6.2902e-01 2.7152e-01 1.1146e+00 4.1381e-02 1.4274e-01 1.6661e+00
169 6.3940e-01 6.1985e-01 2.7420e-01 1.1132e+00 4.3543e-02 1.4488e-01 1.6757e+00
170 6.3400e-01 6.0843e-01 2.7608e-01 1.1115e+00 4.3095e-02 1.4357e-01 1.6853e+00
171 6.2860e-01 6.0623e-01 2.7459e-01 1.1157e+00 4.2975e-02 1.4395e-01 1.6949e+00
172 6.2640e-01 6.1175e-01 2.7566e-01 1.1224e+00 4.3207e-02 1.4612e-01 1.7044e+00
173 6.1820e-01 5.9750e-01 2.7566e-01 1.1190e+00 4.5969e-02 1.4822e-01 1.7140e+00
174 6.2620e-01 6.0507e-01 2.7677e-01 1.1208e+00 4.3033e-02 1.4711e-01 1.7236e+00
175 6.2620e-01 6.0507e-01 2.7677e-01 1.1208e+00 4.3033e-02 1.4711e-01 1.7329e+00
176 6.1800e-01 5.9813e-01 2.8544e-01 1.1193e+00 4.5737e-02 1.4548e-01 1.7425e+00
177 6.1060e-01 5.9332e-01 2.8630e-01 1.1267e+00 3.9564e-02 1.4139e-01 1.7521e+00
178 6.0500e-01 5.9525e-01 2.9424e-01 1.1315e+00 4.1306e-02 1.3943e-01 1.7618e+00
179 6.0680e-01 5.9177e-01 3.0393e-01 1.1387e+00 4.2736e-02 1.3473e-01 1.7714e+00
180 6.0200e-01 5.7782e-01 3.0969e-01 1.1490e+00 4.3619e-02 1.3278e-01 1.7810e+00
181 6.0760e-01 5.7968e-01 3.1730e-01 1.1581e+00 4.2283e-02 1.2969e-01 1.7906e+00
182 6.0700e-01 5.8195e-01 3.2639e-01 1.1674e+00 4.4316e-02 1.3007e-01 1.8001e+00
183 6.0020e-01 5.7393e-01 3.3959e-01 1.1745e+00 4.3371e-02 1.2847e-01 1.8097e+00
184 6.0940e-01 5.8272e-01 3.4407e-01 1.1745e+00 4.2393e-02 1.2720e-01 1.8195e+00
185 5.9840e-01 5.7083e-01 3.4858e-01 1.1768e+00 4.8178e-02 1.2606e-01 1.8291e+00
186 5.8560e-01 5.5773e-01 3.4941e-01 1.1808e+00 4.6560e-02 1.2911e-01 1.8386e+00
187 5.7440e-01 5.5112e-01 3.5784e-01 1.1865e+00 5.0932e-02 1.3422e-01 1.8484e+00
188 5.7940e-01 5.6067e-01 3.5805e-01 1.1885e+00 5.3588e-02 1.3668e-01 1.8580e+00
189 5.8560e-01 5.6340e-01 3.6598e-01 1.1921e+00 5.0435e-02 1.3945e-01 1.8676e+00
190 5.6960e-01 5.4630e-01 3.7203e-01 1.2019e+00 4.9497e-02 1.4284e-01 1.8772e+00
191 5.6820e-01 5.4403e-01 3.7728e-01 1.2058e+00 5.4323e-02 1.4786e-01 1.8867e+00
192 5.6820e-01 5.4403e-01 3.7728e-01 1.2058e+00 5.4323e-02 1.4786e-01 1.8960e+00
193 5.5340e-01 5.3145e-01 3.8944e-01 1.2118e+00 5.4199e-02 1.4815e-01 1.9056e+00
194 5.4020e-01 5.1787e-01 3.9851e-01 1.2177e+00 5.5422e-02 1.4975e-01 1.9152e+00
195 5.3200e-01 5.0900e-01 4.0015e-01 1.2218e+00 6.3315e-02 1.5110e-01 1.9248e+00
196 5.2220e-01 4.9952e-01 4.0461e-01 1.2213e+00 6.0538e-02 1.5146e-01 1.9344e+00
197 5.1640e-01 4.9655e-01 4.1316e-01 1.2292e+00 6.0796e-02 1.5187e-01 1.9440e+00
198 5.1640e-01 4.9655e-01 4.1316e-01 1.2292e+00 6.0796e-02 1.5187e-01 1.9533e+00
199 5.1640e-01 4.9655e-01 4.1316e-01 1.2292e+00 6.0796e-02 1.5187e-01 1.9628e+00
200 5.2140e-01 4.9660e-01 4.2115e-01 1.2309e+00 5.5951e-02 1.5432e-01 1.9724e+00
201 5.0780e-01 4.8763e-01 4.3196e-01 1.2380e+00 5.7057e-02 1.5874e-01 1.9821e+00
202 5.0600e-01 4.8803e-01 4.3762e-01 1.2401e+00 5.6139e-02 1.5958e-01 1.9917e+00
203 5.0600e-01 4.8803e-01 4.3762e-01 1.2401e+00 5.6139e-02 1.5958e-01 2.0010e+00
204 4.9140e-01 4.7535e-01 4.4486e-01 1.2437e+00 5.4309e-02 1.5938e-01 2.0105e+00
205 5.0580e-01 4.8867e-01 4.4902e-01 1.2502e+00 5.9005e-02 1.5749e-01 2.0203e+00
206 5.0580e-01 4.8867e-01 4.4902e-01 1.2502e+00 5.9005e-02 1.5749e-01 2.0296e+00
207 5.0280e-01 4.8402e-01 4.6871e-01 1.2558e+00 6.0371e-02 1.5544e-01 2.0392e+00
208 5.0260e-01 4.8193e-01 4.7941e-01 1.2623e+00 6.5130e-02 1.5144e-01 2.0487e+00
209 5.0260e-01 4.8193e-01 4.7941e-01 1.2623e+00 6.5130e-02 1.5144e-01 2.0580e+00
210 4.8360e-01 4.7093e-01 4.8352e-01 1.2670e+00 6.0656e-02 1.5275e-01 2.0676e+00
211 4.6820e-01 4.5787e-01 4.9288e-01 1.2718e+00 5.6795e-02 1.5419e-01 2.0772e+00
212 4.5780e-01 4.4762e-01 5.0323e-01 1.2746e+00 5.5837e-02 1.5486e-01 2.0869e+00
213 4.4680e-01 4.3482e-01 5.1368e-01 1.2822e+00 5.8766e-02 1.5711e-01 2.0965e+00
214 4.4140e-01 4.3068e-01 5.2071e-01 1.2873e+00 5.8738e-02 1.5871e-01 2.1061e+00
215 4.3980e-01 4.2280e-01 5.3131e-01 1.2937e+00 6.3648e-02 1.6224e-01 2.1159e+00
216 4.2980e-01 4.1697e-01 5.3938e-01 1.2975e+00 6.8100e-02 1.6351e-01 2.1254e+00
217 4.2380e-01 4.1217e-01 5.5062e-01 1.3075e+00 6.8997e-02 1.6252e-01 2.1351e+00
218 4.1980e-01 4.0850e-01 5.5985e-01 1.3119e+00 6.4864e-02 1.6342e-01 2.1446e+00
219 4.2280e-01 4.0505e-01 5.6852e-01 1.3161e+00 7.2667e-02 1.6533e-01 2.1542e+00
220 4.2280e-01 4.0505e-01 5.6852e-01 1.3161e+00 7.2667e-02 1.6533e-01 2.1637e+00
221 4.1820e-01 3.9907e-01 5.7556e-01 1.3202e+00 7.4808e-02 1.7015e-01 2.1733e+00
222 4.1620e-01 3.9707e-01 5.7958e-01 1.3261e+00 7.6381e-02 1.7446e-01 2.1831e+00
223 4.1080e-01 3.9382e-01 5.9298e-01 1.3330e+00 7.4629e-02 1.7379e-01 2.1926e+00
224 4.0060e-01 3.8732e-01 6.0685e-01 1.3366e+00 8.1515e-02 1.7500e-01 2.2022e+00
225 4.0680e-01 3.8893e-01 6.1979e-01 1.3471e+00 8.5002e-02 1.7446e-01 2.2118e+00
226 3.9660e-01 3.8167e-01 6.2757e-01 1.3530e+00 8.7388e-02 1.7485e-01 2.2214e+00
227 3.8980e-01 3.7618e-01 6.3275e-01 1.3601e+00 8.6700e-02 1.8000e-01 2.2310e+00
228 3.9020e-01 3.8050e-01 6.4542e-01 1.3687e+00 8.7069e-02 1.8467e-01 2.2407e+00
229 3.9080e-01 3.7983e-01 6.5274e-01 1.3771e+00 9.1048e-02 1.8300e-01 2.2503e+00
230 3.8380e-01 3.7698e-01 6.6169e-01 1.3897e+00 9.7514e-02 1.8486e-01 2.2600e+00
231 3.8520e-01 3.7448e-01 6.7132e-01 1.3970e+00 1.0174e-01 1.8542e-01 2.2696e+00
232 3.8060e-01 3.6657e-01 6.8392e-01 1.4048e+00 1.0590e-01 1.8385e-01 2.2792e+00
233 3.7580e-01 3.6495e-01 6.9401e-01 1.4147e+00 1.0416e-01 1.8596e-01 2.2888e+00
234 3.6960e-01 3.5915e-01 7.0595e-01 1.4208e+00 1.0153e-01 1.8834e-01 2.2986e+00
235 3.6780e-01 3.5898e-01 7.1889e-01 1.4250e+00 1.0222e-01 1.8671e-01 2.3082e+00
236 3.6720e-01 3.5510e-01 7.2834e-01 1.4305e+00 1.1150e-01 1.8886e-01 2.3180e+00
237 3.6880e-01 3.5138e-01 7.4500e-01 1.4358e+00 1.1235e-01 1.9189e-01 2.3275e+00
238 3.6260e-01 3.4602e-01 7.6292e-01 1.4474e+00 1.1424e-01 1.9000e-01 2.3371e+00
